,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
188,22,3.8081515,(((((DST / 1.161498) * 0.0076518175) + sqrt(P_dyn + 1.5142494)) * ((VBs * -0.0013773805) + 1.6219014)) + (DST * -0.066273704)) + -2.9576778,0.0001955290878534,(((((DST / 1.161498) * 0.0076518175) + sqrt(P_dyn + 1.5142494)) * ((VBs * -0.0013773805) + 1.6219014)) + (DST * -0.066273704)) + -2.9576778,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.066273704*DST + (1.6219014 - 0.0013773805*VBs)*(0.00658788693566412*DST + sqrt(P_dyn + 1.5142494)) - 2.9576778
189,22,3.8082592,(((DST + (-199.6585 - sqrt(epsilon / P_dyn))) * (DST - (P_dyn * 3.0458686))) + ((-12.078526 - P_dyn) * VBs)) * 0.00016337103,0.0006571518787096,(((DST + (-199.6585 - sqrt(epsilon / P_dyn))) * (DST - (P_dyn * 3.0458686))) + ((-12.078526 - P_dyn) * VBs)) * 0.00016337103,inf,inf,inf,inf,-inf,-inf,inf,inf,0.00016337103*VBs*(-P_dyn - 12.078526) + 0.00016337103*(DST - 3.0458686*P_dyn)*(DST - sqrt(epsilon/P_dyn) - 199.6585)
190,21,3.8083472,-0.0011471914 * ((sqrt(P_dyn - -2.220118) * (VBs / sqrt(0.92382884))) + (sqrt((sqrt(P_dyn) * 1587.8507) + VBs) * DST)),9.584164250813905e-06,-0.0011471914 * ((sqrt(P_dyn - -2.220118) * (VBs / sqrt(0.92382884))) + (sqrt((sqrt(P_dyn) * 1587.8507) + VBs) * DST)),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0011471914*DST*sqrt(VBs + 1587.8507*sqrt(P_dyn)) - 0.0011471914*VBs*sqrt(P_dyn + 2.220118)/sqrt(0.92382884)
191,20,3.8083837,-0.0011471914 * ((sqrt((1587.8507 * sqrt(P_dyn)) + VBs) * DST) + ((sqrt(P_dyn - -2.220118) * VBs) / 0.9569598)),5.0806374665782e-05,-0.0011471914 * ((sqrt((1587.8507 * sqrt(P_dyn)) + VBs) * DST) + ((sqrt(P_dyn - -2.220118) * VBs) / 0.9569598)),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0011471914*DST*sqrt(VBs + 1587.8507*sqrt(P_dyn)) - 0.0011987874516777*VBs*sqrt(P_dyn + 2.220118)
192,20,3.8084035,((DST * -0.060222715) - (((VBs * 0.0013622483) + -1.3371722) * (sqrt(P_dyn + 1.1282122) + (DST * 0.005632518)))) + -2.283913,0.0031132794461639,((DST * -0.060222715) - (((VBs * 0.0013622483) + -1.3371722) * (sqrt(P_dyn + 1.1282122) + (DST * 0.005632518)))) + -2.283913,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.060222715*DST - (0.005632518*DST + sqrt(P_dyn + 1.1282122))*(0.0013622483*VBs - 1.3371722) - 2.283913
193,18,3.8085454,(sqrt(sqrt(P_dyn)) * ((VBs * (((DST / sqrt(P_dyn)) * 0.0002417945) - -0.049472287)) + DST)) * -0.046209287,0.0039013786735486,(sqrt(sqrt(P_dyn)) * ((VBs * (((DST / sqrt(P_dyn)) * 0.0002417945) - -0.049472287)) + DST)) * -0.046209287,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.046209287*(DST + VBs*(0.0002417945*DST/sqrt(P_dyn) + 0.049472287))*sqrt(sqrt(P_dyn))
194,18,3.8085485,(DST + ((((DST * 0.00024516153) / sqrt(P_dyn)) + 0.049461044) * VBs)) * (-0.046213772 * sqrt(sqrt(P_dyn))),0.0038993616068451,(DST + ((((DST * 0.00024516153) / sqrt(P_dyn)) + 0.049461044) * VBs)) * (-0.046213772 * sqrt(sqrt(P_dyn))),15.246622641509433,16.37095,11.85332075471698,12.472849999999998,0.6920188679245283,0.7109,16.99932075471698,19.2768,-0.046213772*(DST + VBs*(0.00024516153*DST/sqrt(P_dyn) + 0.049461044))*sqrt(sqrt(P_dyn))
195,20,3.8086302,(((0.7547047 - ((DST * -0.003629762) / sqrt(P_dyn))) * VBs) - (DST / -0.06516244)) * (sqrt(sqrt(P_dyn)) * -0.003008651),0.0038915626700601,(((0.7547047 - ((DST * -0.003629762) / sqrt(P_dyn))) * VBs) - (DST / -0.06516244)) * (sqrt(sqrt(P_dyn)) * -0.003008651),15.274999999999999,16.3612,11.872037735849055,12.48405,0.6908490566037735,0.7117000000000002,17.05069811320755,19.231,-0.003008651*(15.3462638906708*DST + VBs*(0.003629762*DST/sqrt(P_dyn) + 0.7547047))*sqrt(sqrt(P_dyn))
196,29,3.8086874,(-1.4579861 + sqrt(P_dyn)) + (-0.05560806 * ((DST - P_dyn) + ((VBs + P_dyn) / (12.399891 - (sqrt(P_dyn) + ((DST + -81.12176) / ((P_dyn - -0.9673661) / 0.36168048))))))),1.732877464007508e-06,(-1.4579861 + sqrt(P_dyn)) + (-0.05560806 * ((DST - P_dyn) + ((VBs + P_dyn) / (12.399891 - (sqrt(P_dyn) + ((DST + -81.12176) / ((P_dyn - -0.9673661) / 0.36168048))))))),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.05560806*DST + 0.05560806*P_dyn - 0.05560806*(P_dyn + VBs)/(-(DST - 81.12176)/(2.76487135827734*P_dyn + 2.67464282285845) - sqrt(P_dyn) + 12.399891) + sqrt(P_dyn) - 1.4579861
197,27,3.8087006,((((DST - P_dyn) + (VBs / (12.399891 - (sqrt(P_dyn) + ((DST + -81.12176) / ((P_dyn - -0.9673661) / 0.36168048)))))) * -0.05560806) + -1.4579861) + sqrt(P_dyn),0.0001332429163797,((((DST - P_dyn) + (VBs / (12.399891 - (sqrt(P_dyn) + ((DST + -81.12176) / ((P_dyn - -0.9673661) / 0.36168048)))))) * -0.05560806) + -1.4579861) + sqrt(P_dyn),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.05560806*DST + 0.05560806*P_dyn - 0.05560806*VBs/(-(DST - 81.12176)/(2.76487135827734*P_dyn + 2.67464282285845) - sqrt(P_dyn) + 12.399891) + sqrt(P_dyn) - 1.4579861
